output,input1,input2,input3,input4
564,534,536,466,599
182,264,103,244,519
323,272,339,609,474
438,416,444,330,582
547,520,464,104,412
291,81,415,705,444
436,380,386,408,532
656,549,596,387,443
349,431,364,672,420
540,574,611,182,422
373,313,350,398,504
252,281,266,461,528
419,323,377,487,517
238,55,350,511,495
387,397,454,779,481
522,463,424,289,541
531,574,638,702,453
391,337,261,236,463
374,433,412,367,485
284,332,294,574,566
598,497,523,420,547
416,509,515,604,574
330,351,406,152,472
232,281,307,274,461
598,563,492,565,597
418,452,465,569,454
490,486,459,204,418
544,429,502,106,588
404,386,395,749,429
532,509,486,305,422
553,514,455,412,466
598,594,645,407,600
496,362,439,752,484
562,585,551,520,519
617,389,948,229,555
489,543,619,424,467
625,592,557,407,422
358,449,442,371,582
585,514,529,557,465
410,420,478,359,542
296,303,346,692,544
361,430,442,188,535
405,323,362,368,433
402,478,511,156,598
573,551,628,486,517
329,407,359,667,582
339,387,414,119,523
587,409,838,311,495
471,480,535,702,522
329,271,217,792,596
449,477,407,305,520
615,535,561,630,423
334,321,342,350,486
367,376,400,727,518
631,525,592,482,539
376,395,459,738,558
349,448,411,594,519
173,271,265,410,433
533,458,461,502,401
190,306,243,575,241
